sample_id,split,scene_type,strict_fail,failure_type,audit_bucket,semantic_gap_subtype,pred_matches_gt_label,format_issue,no_anchor,parse_fail,strict_parse_fail,strict_failure_reason,no_anchor_when_gt_changed,target_miss,changed_edge_miss,gt_changed_edge_count,gt_target_edge_count,active_changed_event_count,active_changed_edge_count_derived,unanchored_changed_event_count,unanchored_changed_edge_count,target_recall,gt_changed_edge_recall,active_changed_levels,unanchored_changed_levels,active_changed_event_texts,unanchored_changed_event_texts,input_text,gt_label,pred_text
val_normal:41,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_short_range,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,2,0,1,2,1,2,0.0,0.0,畅通,畅通,红专路经六路至花园路段向东畅通无阻,红专路经六路至花园路段向东畅通无阻,红专路经六路至花园路段向东畅通无阻,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:43,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,3,2,2,3,1,1,100.0,66.7,中度拥堵|畅通,畅通,纬五路经六路至花园路段向东排队通行效率下降 || 经一路农业路至红专路段向南畅通无阻,经一路农业路至红专路段向南畅通无阻,常态或局部短时事件：纬五路经六路至花园路段向东排队通行效率下降；经一路农业路至红专路段向南畅通无阻,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=纬五路|DIR=向东|RANGE=经六路至花园路|LEVEL=中度拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=纬五路|DIR=向东|RANGE=经六路至花园路|LEVEL=中度拥堵"
val_normal:53,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,2,1,2,2,1,1,100.0,50.0,严重拥堵|畅通,畅通,经一路红专路至政七街段向南追尾事故严重拥堵 || 政七街经三路至经六路段向东车流顺畅,政七街经三路至经六路段向东车流顺畅,常态或局部短时事件：经一路红专路至政七街段向南追尾事故严重拥堵；政七街经三路至经六路段向东车流顺畅,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=经一路|DIR=向南|RANGE=红专路至政七街|LEVEL=严重拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=经一路|DIR=向南|RANGE=红专路至政七街|LEVEL=严重拥堵"
val_normal:60,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,经六路红专路至政七街段向北畅通无阻,经六路红专路至政七街段向北畅通无阻,经六路红专路至政七街段向北畅通无阻,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:61,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,花园路政七街至黄河路段向北车流顺畅,花园路政七街至黄河路段向北车流顺畅,花园路政七街至黄河路段向北车流顺畅,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:69,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,2,1,2,2,1,1,100.0,50.0,严重拥堵|畅通,畅通,政七街经一路至经三路段向东追尾事故严重拥堵 || 经一路政七街至黄河路段向北车流顺畅,经一路政七街至黄河路段向北车流顺畅,政七街经一路至经三路段向东追尾事故严重拥堵；经一路政七街至黄河路段向北车流顺畅,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=政七街|DIR=向东|RANGE=经一路至经三路|LEVEL=严重拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=政七街|DIR=向东|RANGE=经一路至经三路|LEVEL=严重拥堵"
val_normal:74,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,农业路经六路至经八路段向东畅通无阻,农业路经六路至经八路段向东畅通无阻,当前需要根据常态或局部短时事件进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 农业路经六路至经八路段向东畅通无阻 其余未明确提及路段按常态理解，不要额外扩大影响范围。,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:75,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,3,2,2,3,1,1,100.0,66.7,中度拥堵|畅通,畅通,经三路红专路至黄河路段向北排队通行效率下降 || 纬五路经三路至经六路段向西畅通无阻,纬五路经三路至经六路段向西畅通无阻,经三路红专路至黄河路段向北排队通行效率下降；纬五路经三路至经六路段向西畅通无阻,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=经三路|DIR=向北|RANGE=红专路至黄河路|LEVEL=中度拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=经三路|DIR=向北|RANGE=红专路至黄河路|LEVEL=中度拥堵"
val_normal:76,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,2,1,2,2,1,1,100.0,50.0,严重拥堵|畅通,畅通,黄河路经八路至花园路段向东排队长度明显增加 || 经八路黄河路至纬五路段向北车流顺畅,经八路黄河路至纬五路段向北车流顺畅,黄河路经八路至花园路段向东排队长度明显增加；经八路黄河路至纬五路段向北车流顺畅,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=黄河路|DIR=向东|RANGE=经八路至花园路|LEVEL=严重拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=黄河路|DIR=向东|RANGE=经八路至花园路|LEVEL=严重拥堵"
val_normal:79,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,2,1,2,2,1,1,100.0,50.0,严重拥堵|畅通,畅通,花园路农业路至红专路段向南追尾事故严重拥堵 || 红专路经六路至经八路段向东畅通无阻,红专路经六路至经八路段向东畅通无阻,常态或局部短时事件：花园路农业路至红专路段向南追尾事故严重拥堵；红专路经六路至经八路段向东畅通无阻,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=花园路|DIR=向南|RANGE=农业路至红专路|LEVEL=严重拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=花园路|DIR=向南|RANGE=农业路至红专路|LEVEL=严重拥堵"
val_normal:85,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,2,1,2,2,1,1,100.0,50.0,中度拥堵|畅通,畅通,经八路红专路至政七街段向南车流较大缓行 || 红专路经一路至经三路段向西车流顺畅,红专路经一路至经三路段向西车流顺畅,常态或局部短时事件：经八路红专路至政七街段向南车流较大缓行；红专路经一路至经三路段向西车流顺畅,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=经八路|DIR=向南|RANGE=红专路至政七街|LEVEL=中度拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=经八路|DIR=向南|RANGE=红专路至政七街|LEVEL=中度拥堵"
val_normal:87,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,2,1,2,2,1,1,100.0,50.0,中度拥堵|畅通,畅通,经八路农业路至红专路段向北中度拥堵缓行 || 政七街经六路至经八路段向西畅通无阻,政七街经六路至经八路段向西畅通无阻,常态或局部短时事件：经八路农业路至红专路段向北中度拥堵缓行；政七街经六路至经八路段向西畅通无阻,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=经八路|DIR=向北|RANGE=农业路至红专路|LEVEL=中度拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=经八路|DIR=向北|RANGE=农业路至红专路|LEVEL=中度拥堵"
val_normal:89,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,3,2,2,3,1,1,100.0,66.7,严重拥堵|畅通,畅通,农业路经一路至经六路段向东追尾事故严重拥堵 || 花园路政七街至黄河路段向南畅通无阻,花园路政七街至黄河路段向南畅通无阻,农业路经一路至经六路段向东追尾事故严重拥堵；花园路政七街至黄河路段向南畅通无阻,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=农业路|DIR=向东|RANGE=经一路至经六路|LEVEL=严重拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=农业路|DIR=向东|RANGE=经一路至经六路|LEVEL=严重拥堵"
val_normal:92,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,2,1,2,2,1,1,100.0,50.0,严重拥堵|畅通,畅通,经六路黄河路至纬五路段向北车流积压严重拥堵 || 政七街经八路至花园路段向西车流顺畅,政七街经八路至花园路段向西车流顺畅,常态或局部短时事件：经六路黄河路至纬五路段向北车流积压严重拥堵；政七街经八路至花园路段向西车流顺畅,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=经六路|DIR=向北|RANGE=黄河路至纬五路|LEVEL=严重拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=经六路|DIR=向北|RANGE=黄河路至纬五路|LEVEL=严重拥堵"
val_normal:94,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,农业路花园路至未来路段向东畅通无阻,农业路花园路至未来路段向东畅通无阻,农业路花园路至未来路段向东畅通无阻,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:95,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,经八路政七街至黄河路段向南畅通无阻,经八路政七街至黄河路段向南畅通无阻,常态或局部短时事件：经八路政七街至黄河路段向南畅通无阻,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:96,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,2,1,2,2,1,1,100.0,50.0,中度拥堵|畅通,畅通,经六路红专路至政七街段向北排队通行效率下降 || 政七街经三路至经六路段向东车流顺畅,政七街经三路至经六路段向东车流顺畅,经六路红专路至政七街段向北排队通行效率下降；政七街经三路至经六路段向东车流顺畅,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=经六路|DIR=向北|RANGE=红专路至政七街|LEVEL=中度拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=经六路|DIR=向北|RANGE=红专路至政七街|LEVEL=中度拥堵"
val_normal:103,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,经三路红专路至政七街段向北畅通无阻,经三路红专路至政七街段向北畅通无阻,经三路红专路至政七街段向北畅通无阻,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:104,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,纬五路经三路至经六路段向东车流顺畅,纬五路经三路至经六路段向东车流顺畅,常态或局部短时事件：纬五路经三路至经六路段向东车流顺畅,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:108,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,未来路政七街至黄河路段向北车流顺畅,未来路政七街至黄河路段向北车流顺畅,常态或局部短时事件：未来路政七街至黄河路段向北车流顺畅,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:109,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,农业路花园路至未来路段向西畅通无阻,农业路花园路至未来路段向西畅通无阻,常态或局部短时事件：农业路花园路至未来路段向西畅通无阻,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:112,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,红专路花园路至未来路段向西畅通无阻,红专路花园路至未来路段向西畅通无阻,红专路花园路至未来路段向西畅通无阻,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:113,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,3,2,2,3,1,1,100.0,66.7,严重拥堵|畅通,畅通,黄河路经六路至花园路段向东车流积压严重拥堵 || 经八路政七街至黄河路段向北畅通无阻,经八路政七街至黄河路段向北畅通无阻,黄河路经六路至花园路段向东车流积压严重拥堵；经八路政七街至黄河路段向北畅通无阻,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=黄河路|DIR=向东|RANGE=经六路至花园路|LEVEL=严重拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=黄河路|DIR=向东|RANGE=经六路至花园路|LEVEL=严重拥堵"
val_normal:117,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,4,3,2,4,1,1,100.0,75.0,严重拥堵|畅通,畅通,政七街经三路至花园路段向东车流积压严重拥堵 || 未来路农业路至红专路段向北畅通无阻,未来路农业路至红专路段向北畅通无阻,常态或局部短时事件：政七街经三路至花园路段向东车流积压严重拥堵；未来路农业路至红专路段向北畅通无阻,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=政七街|DIR=向东|RANGE=经三路至花园路|LEVEL=严重拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=政七街|DIR=向东|RANGE=经三路至花园路|LEVEL=严重拥堵"
val_normal:119,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,2,1,2,2,1,1,100.0,50.0,严重拥堵|畅通,畅通,政七街经一路至经三路段向东排队长度明显增加 || 未来路黄河路至纬五路段向北畅通无阻,未来路黄河路至纬五路段向北畅通无阻,政七街经一路至经三路段向东排队长度明显增加；未来路黄河路至纬五路段向北畅通无阻,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=政七街|DIR=向东|RANGE=经一路至经三路|LEVEL=严重拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=政七街|DIR=向东|RANGE=经一路至经三路|LEVEL=严重拥堵"
val_normal:122,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,未来路红专路至政七街段向南畅通无阻,未来路红专路至政七街段向南畅通无阻,常态或局部短时事件：未来路红专路至政七街段向南畅通无阻,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:127,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_short_range,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,2,0,1,2,1,2,0.0,0.0,畅通,畅通,经三路农业路至政七街段向北车流顺畅,经三路农业路至政七街段向北车流顺畅,常态或局部短时事件：经三路农业路至政七街段向北车流顺畅,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
