model,scene,scene_type,variant,complexity_level,prompt_chars,prompt_tokens,used_tokens,max_length,truncated,parse_failure,parsed_edges,parsed_edge_ratio,signal_edges,signal_ratio,infer_time_s,total_ms,anchor_count,parse_confidence
Sparse-LoRA,场景A 黄河路单向拥堵,simple_local,short,1,482,188,188,768,0,0,10,10.2,10,10.2,1.353,1358.81,4,0.91
Sparse-LoRA,场景A 黄河路单向拥堵,simple_local,medium,2,498,198,198,768,0,0,2,2.0,2,2.0,1.036,1037.92,2,0.92
Sparse-LoRA,场景A 黄河路单向拥堵,simple_local,long,3,494,195,195,768,0,0,10,10.2,10,10.2,1.185,1189.04,4,0.9
Sparse-LoRA,场景A 黄河路单向拥堵,simple_local,noisy_long,4,505,201,201,768,0,0,1,1.0,1,1.0,1.072,1078.16,1,0.86
Sparse-LoRA,场景B 花园路封闭绕行,core_blockage,short,1,475,187,187,768,0,0,10,10.2,10,10.2,1.227,1228.38,4,0.91
Sparse-LoRA,场景B 花园路封闭绕行,core_blockage,medium,2,491,197,197,768,0,0,10,10.2,10,10.2,1.231,1232.94,4,0.91
Sparse-LoRA,场景B 花园路封闭绕行,core_blockage,long,3,487,194,194,768,0,0,2,2.0,2,2.0,0.756,759.32,2,0.92
Sparse-LoRA,场景B 花园路封闭绕行,core_blockage,noisy_long,4,498,200,200,768,0,0,20,20.4,20,20.4,1.169,1174.98,4,0.902
Sparse-LoRA,场景C 多路段复合拥堵,compound_disaster,short,1,538,209,209,768,0,0,26,26.5,26,26.5,1.539,1540.16,5,0.902
Sparse-LoRA,场景C 多路段复合拥堵,compound_disaster,medium,2,554,219,219,768,0,0,26,26.5,26,26.5,1.552,1553.3,5,0.902
Sparse-LoRA,场景C 多路段复合拥堵,compound_disaster,long,3,550,216,216,768,0,0,26,26.5,26,26.5,1.572,1575.66,5,0.902
Sparse-LoRA,场景C 多路段复合拥堵,compound_disaster,noisy_long,4,561,222,222,768,0,0,17,17.3,17,17.3,1.264,1269.12,3,0.83
Sparse-LoRA,场景D 中央核心节点封锁（强迫大范围绕行）,compound_disaster,short,1,620,257,257,768,0,0,18,18.4,18,18.4,0.736,737.22,2,0.8
Sparse-LoRA,场景D 中央核心节点封锁（强迫大范围绕行）,compound_disaster,medium,2,636,267,267,768,0,0,28,28.6,28,28.6,1.032,1033.81,3,0.8
Sparse-LoRA,场景D 中央核心节点封锁（强迫大范围绕行）,compound_disaster,long,3,632,264,264,768,0,0,28,28.6,24,24.5,2.434,2437.3,4,0.965
Sparse-LoRA,场景D 中央核心节点封锁（强迫大范围绕行）,compound_disaster,noisy_long,4,643,270,270,768,0,0,18,18.4,18,18.4,0.699,703.53,2,0.8
Sparse-LoRA,场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,short,1,489,190,190,768,0,0,18,18.4,18,18.4,0.701,702.17,2,0.8
Sparse-LoRA,场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,medium,2,505,200,200,768,0,0,18,18.4,18,18.4,0.833,834.61,2,0.8
Sparse-LoRA,场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,long,3,501,197,197,768,0,0,18,18.4,18,18.4,0.832,834.94,2,0.8
Sparse-LoRA,场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,noisy_long,4,512,203,203,768,0,0,18,18.4,18,18.4,0.704,708.66,2,0.8
Sparse-LoRA,场景F 大规模复合灾害（极限压力测试）,compound_disaster,short,1,627,260,260,768,0,0,19,19.4,19,19.4,2.526,2527.56,4,0.97
Sparse-LoRA,场景F 大规模复合灾害（极限压力测试）,compound_disaster,medium,2,643,270,270,768,0,0,10,10.2,10,10.2,1.046,1047.92,2,0.83
Sparse-LoRA,场景F 大规模复合灾害（极限压力测试）,compound_disaster,long,3,639,267,267,768,0,0,28,28.6,28,28.6,2.407,2410.08,7,0.911
Sparse-LoRA,场景F 大规模复合灾害（极限压力测试）,compound_disaster,noisy_long,4,650,273,273,768,0,0,10,10.2,10,10.2,1.09,1094.91,2,0.83
R1-LoRA,场景A 黄河路单向拥堵,simple_local,short,1,109,48,48,4096,0,0,34,34.7,34,34.7,13.425,13426.29,0,0.0
R1-LoRA,场景A 黄河路单向拥堵,simple_local,medium,2,845,494,494,4096,0,0,19,19.4,19,19.4,39.435,39437.42,0,0.0
R1-LoRA,场景A 黄河路单向拥堵,simple_local,long,3,4441,2681,2681,4096,0,0,22,22.4,22,22.4,49.567,49573.46,0,0.0
R1-LoRA,场景A 黄河路单向拥堵,simple_local,noisy_long,4,9824,5973,4096,4096,1,1,0,0.0,0,0.0,49.829,49845.28,0,0.0
R1-LoRA,场景B 花园路封闭绕行,core_blockage,short,1,104,46,46,4096,0,0,8,8.2,8,8.2,51.095,51096.91,0,0.0
R1-LoRA,场景B 花园路封闭绕行,core_blockage,medium,2,840,492,492,4096,0,1,0,0.0,0,0.0,50.534,50538.18,0,0.0
R1-LoRA,场景B 花园路封闭绕行,core_blockage,long,3,4436,2679,2679,4096,0,0,8,8.2,8,8.2,50.226,50234.0,0,0.0
R1-LoRA,场景B 花园路封闭绕行,core_blockage,noisy_long,4,9819,5971,4096,4096,1,1,0,0.0,0,0.0,51.313,51327.98,0,0.0
R1-LoRA,场景C 多路段复合拥堵,compound_disaster,short,1,106,45,45,4096,0,0,22,22.4,22,22.4,9.733,9734.15,0,0.0
R1-LoRA,场景C 多路段复合拥堵,compound_disaster,medium,2,842,491,491,4096,0,0,8,8.2,8,8.2,37.099,37101.5,0,0.0
R1-LoRA,场景C 多路段复合拥堵,compound_disaster,long,3,4438,2678,2678,4096,0,0,13,13.3,13,13.3,49.185,49192.2,0,0.0
R1-LoRA,场景C 多路段复合拥堵,compound_disaster,noisy_long,4,9821,5970,4096,4096,1,1,0,0.0,0,0.0,48.814,48829.13,0,0.0
R1-LoRA,场景D 中央核心节点封锁（强迫大范围绕行）,compound_disaster,short,1,128,62,62,4096,0,0,62,63.3,62,63.3,50.042,50045.39,0,0.0
R1-LoRA,场景D 中央核心节点封锁（强迫大范围绕行）,compound_disaster,medium,2,864,508,508,4096,0,0,54,55.1,54,55.1,40.11,40111.85,0,0.0
R1-LoRA,场景D 中央核心节点封锁（强迫大范围绕行）,compound_disaster,long,3,4460,2695,2695,4096,0,0,54,55.1,54,55.1,36.552,36559.9,0,0.0
R1-LoRA,场景D 中央核心节点封锁（强迫大范围绕行）,compound_disaster,noisy_long,4,9843,5987,4096,4096,1,1,0,0.0,0,0.0,50.126,50141.17,0,0.0
R1-LoRA,场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,short,1,110,49,49,4096,0,0,18,18.4,18,18.4,13.963,13964.06,0,0.0
R1-LoRA,场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,medium,2,846,495,495,4096,0,0,14,14.3,14,14.3,10.458,10460.35,0,0.0
R1-LoRA,场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,long,3,4442,2682,2682,4096,0,0,14,14.3,14,14.3,17.771,17777.36,0,0.0
R1-LoRA,场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,noisy_long,4,9825,5974,4096,4096,1,1,0,0.0,0,0.0,49.768,49783.73,0,0.0
R1-LoRA,场景F 大规模复合灾害（极限压力测试）,compound_disaster,short,1,135,67,67,4096,0,0,54,55.1,54,55.1,15.057,15058.29,0,0.0
R1-LoRA,场景F 大规模复合灾害（极限压力测试）,compound_disaster,medium,2,871,513,513,4096,0,0,54,55.1,54,55.1,31.609,31611.24,0,0.0
R1-LoRA,场景F 大规模复合灾害（极限压力测试）,compound_disaster,long,3,4467,2700,2700,4096,0,0,42,42.9,42,42.9,49.031,49037.74,0,0.0
R1-LoRA,场景F 大规模复合灾害（极限压力测试）,compound_disaster,noisy_long,4,9850,5992,4096,4096,1,1,0,0.0,0,0.0,49.127,49141.25,0,0.0
